,Result
1,0.2280237549171354 0.4477337352638675 0.4384782895896758 0.5317360030180467 0.6160022870099087 0.3725669481867233 0.47808309916871367 0.5147576967578609 0.5979492060260438 0.5670871719030839 0.5727233428103377 0.4979738818747827 0.43318806215764105 0.45375590639638536 0.4450951193428436 0.5381580302965406 0.3929854504041789 0.458115184522328 0.5170279129142703 0.43167032549720347 0.40848315436476873 0.44083284518333005 0.6594610097024833 0.5869523456904386 0.39277665972910564 0.4161945021990497 0.6081133541540383 0.5400108575994853 0.3562615225530281 0.35832433770493965 0.5817338673053665 0.6460426620778864 0.35379134993520406 0.508096128981157 0.5234097793501645 0.4725829755523577 0.5443828103614912 0.44880464205959675 0.6268830624450757 0.518229210209749 0.39202026240389504 0.5257268176937118 0.45191125943096777 0.5510989601814478 0.5099739054658866 0.43878185375731965 0.6015456350818038 0.5168497738403738 0.4080541474465159 0.5292273520648174 0.3955758864045825 0.44229014597174926 0.39912578126209086 0.6182225055555166 0.5125191364355773 0.432797602376886 0.44571188256425054
2,0.25312949360099385 0.44773373661153826 0.43847828977134756 0.6092846113043556 0.5965079733918965 0.3949729762298157 0.6753539932856962 0.4151843193472012 0.3463659650173739 0.4772710565168316 0.29202355308730465 0.44519305541434195 0.5045476200493327 0.3626702887268298 0.3917157678025803 0.38095329670176203 0.498156691913774 0.48248010796195834 0.5101576998263432 0.46577326609504766 0.48086764632825163 0.4754083467489658 0.526928662806927 0.30024367210234304 0.5888795344701232 0.5532336300370726 0.5296936968847373 0.40298518549750584 0.6799116181767412 0.23361909320207125 0.4204287281813577 0.36390754261674413 0.44892200383259245 0.40419901123447266 0.3001115892531159 0.582834456507122 0.5062874428218135 0.5917957844116466 0.5182640650414302 0.30649430530554933 0.3774207998336534 0.44326412233930274 0.525671504390907 0.6092173705793694 0.44904183399687386 0.47073682015463025 0.5658221104493487 0.6548496060846322 0.4747717993766455 0.5065385478060193 0.45645907484091414 0.49678914192131324 0.5657174462900598 0.3543687053774305 0.42995716290182395 0.4621548506776196 0.5908569538249732
3,0.2567944001829919 0.4477337351684017 0.4384782915171716 0.5890165798650441 0.5410324634127672 0.45855994136487666 0.4251502773219189 0.5313423213257596 0.4927896795369627 0.5190010527016977 0.47221412068905155 0.5273152807332927 0.45077640118050055 0.6172296943884563 0.5533615894655042 0.5436987802724218 0.5507424231789917 0.6410989339453999 0.41093558419245024 0.5277013032423425 0.6005153803117455 0.4119928475178762 0.5036051510911504 0.5078066436454839 0.5383473575212124 0.6729050040977735 0.5924412110858533 0.6431001833717829 0.4756012330592488 0.4346849227918684 0.538622701802394 0.6022612473042571 0.6140852499371704 0.4077407158723829 0.6770629875044418 0.6368249578707648 0.4945995354634255 0.4792240328167376 0.5621235604046353 0.6045749994728423 0.5466621380334846 0.5049002937694073 0.4871567128469335 0.5690610386017908 0.4719797854905884 0.45239430173464584 0.5185278591140295 0.480664040548592 0.4787697115644237 0.5753279802875396 0.5281675779202644 0.44473917500433113 0.5429321562010382 0.4681835848909533 0.6010516169297715 0.581172736437889 0.5499855349644803
4,0.30778378828321523 0.44773373493503993 0.4384782900375395 0.4694942224079941 0.4632164125096087 0.3794605335580219 0.3960200085766833 0.34120576049404633 0.650367212567105 0.5106179630124329 0.4997740743001226 0.544690700949676 0.4186581688180037 0.5859628415347816 0.6026075597610018 0.5177107171335036 0.5700836425001222 0.5145618340920765 0.505125173175883 0.5591208491575771 0.4294430373062542 0.5422515027083407 0.44996761419751036 0.3901667239542607 0.5858812591283825 0.6749096735413506 0.4984042567459393 0.47255487466121165 0.4523948902847981 0.5225998861041486 0.3969201509611762 0.47173182565277916 0.594593671607202 0.4770302369441098 0.5098044919900053 0.6694323713363851 0.4921362784008816 0.5654219946948491 0.500172940638893 0.49687002429730964 0.5295861276676884 0.5567203976978937 0.5246757570750951 0.6208718169602501 0.6340006332078348 0.45985932430790877 0.37962551492334323 0.3802719947886192 0.39622711154834034 0.5760416051404037 0.4153061619955191 0.5979608597269336 0.46775133143689346 0.5355602392722839 0.4861133395820619 0.5884514588034392 0.5655899572357634
5,0.2744016720597048 0.4477337361194027 0.4384782897104923 0.5431031986615408 0.4770407622364894 0.4053078600569135 0.5072472815424643 0.5932731727915841 0.5002993633657022 0.5141275040321213 0.523079426438785 0.47618918155190226 0.5143723135981647 0.513266533401494 0.5101148853442654 0.4745341459879752 0.47328413975635014 0.47670014441766484 0.5082626067913519 0.5230959031434008 0.4985917830342005 0.4186150836175669 0.5802195352326415 0.4721643907482741 0.5011322619080889 0.48849053816454563 0.447021871061431 0.5729146543009337 0.5566439225437664 0.5175111781775679 0.5230324736216658 0.4947399583210022 0.5582390945600316 0.55140451796287 0.42162005700343747 0.5337091207708345 0.5539576896235341 0.5676450048093326 0.6437133050178562 0.5019737122964593 0.4440131908334809 0.4700954944801227 0.5013851243257703 0.5715667017986125 0.5356526180057666 0.4948091437601593 0.5514342007896208 0.5389362548019786 0.4378099096870279 0.4381912132050959 0.4705370949895349 0.43467805668802323 0.6190029206171639 0.45149403671719573 0.556511806693322 0.5332844499830613 0.43772774764785016
6,0.284084378025655 0.44773373463949834 0.4384782854334601 0.5935956724775227 0.5164575972311196 0.5291742996207144 0.4587423955778103 0.5039972537295734 0.5679564978118035 0.33336590199123184 0.4362223389704198 0.4282203401537091 0.5272953138246406 0.5297358955733176 0.7021948521568262 0.6465468960267721 0.38301056547144546 0.4539428375057527 0.6186817207015761 0.3640091277286182 0.4935018487520158 0.5729243883431188 0.4943075586289327 0.3843007176117353 0.4653439358804008 0.6623429811131064 0.6335442997317269 0.36941928577667876 0.5053724833937808 0.6946903291344676 0.6206996870951585 0.5885280304992855 0.2806888988869382 0.586306884544442 0.39128903564962547 0.6166323980521445 0.42469206605336945 0.4552979715657583 0.6485651634881833 0.6129358893371298 0.5572839288273789 0.46079240199255106 0.5037773159535224 0.505411031946698 0.3396591956472124 0.3917758809857206 0.6483855921423057 0.5080367234328921 0.506879168306283 0.6225438525724045 0.5511872278674284 0.7247812341014312 0.38248769661696663 0.4467857123685826 0.45327038840801126 0.510652993098872 0.5444759718374598
7,0.31743628789136663 0.44773373224630003 0.4384782981746417 0.4759256580909599 0.40793174399275695 0.5520385044874688 0.41270793570898257 0.5848690829351375 0.4938613555097497 0.5270290252137771 0.6068370382163131 0.5723818259579792 0.4635672009173155 0.4343798447540892 0.45348918434539076 0.49997905407014054 0.5470401491712086 0.5688146116505065 0.5365119432292647 0.4267343172943206 0.4139839524560188 0.5073988293105337 0.5511886612535492 0.48242588576750267 0.5555240926888921 0.46323603788418366 0.4488701731768264 0.5224568083507594 0.490552953439016 0.5147396531849731 0.5120760879176312 0.4721121908648911 0.4854979431313675 0.46082269901654666 0.5747972192959424 0.5984434848723363 0.6119088373047974 0.4495803069023407 0.42972040183955523 0.40431635336447924 0.4875186237289848 0.4545438080238423 0.45367334260025993 0.4844990933439062 0.511277461970642 0.4454148147218531 0.500254425116924 0.46136201867701615 0.39615155908841915 0.49732983457056545 0.48554866322211465 0.529470642214805 0.5581240342848056 0.6011809454912966 0.5721008942525346 0.59869858821725 0.5316129436075498
8,0.20781915405048562 0.44773373714736076 0.4384782924997541 0.43155038378493005 0.5889280055597448 0.5246332928228804 0.40170260488195236 0.40929324566939185 0.5458073593410038 0.5930406047077947 0.652857310412451 0.3798073223784803 0.6040667267181713 0.26589855669549434 0.6037597650729846 0.5088388516185496 0.539979814903161 0.5138428897023442 0.3220712114082305 0.5103388811038093 0.39812183687454683 0.4352191706473528 0.46144780872909563 0.46581013292808426 0.3944001378991627 0.6088170871947662 0.6525716548310116 0.5655424178500918 0.6057758513429876 0.38870607688602943 0.544518938644914 0.4296711403246187 0.6669630296268513 0.39437848499409073 0.5586269833403757 0.5450800920673716 0.45198113304343934 0.5970745511495466 0.5991247663034447 0.5877683383229774 0.42975172157330854 0.37050503366656434 0.6878795176610698 0.45040705067389414 0.5946135199550506 0.5553753170343009 0.4685780138211797 0.3665774354826811 0.6859955453683382 0.5988050881440076 0.5929968388658988 0.5256279230924138 0.47107880752688275 0.49424274079988784 0.4938064640235006 0.7170200907102356 0.657158992564336
9,0.29465706656766955 0.44773374141656785 0.43847828672260475 0.48497673283086584 0.355994432197423 0.4089417445026292 0.4507194258863522 0.4295616828164302 0.42076847412126533 0.5000072948997785 0.4379327018977299 0.4523714067093766 0.4884196611853277 0.5199452806803105 0.5835819967848045 0.5802443245564349 0.7198642384091058 0.5473437943361263 0.4687377917424527 0.41719899992477644 0.41114052405479756 0.3953349438843586 0.4492006704529635 0.515521373614801 0.49698761327623864 0.5427658537868885 0.5653312813815872 0.4823260538453475 0.43060415523122086 0.4418295069242708 0.5500330684579369 0.4762527127112261 0.5173320556329608 0.5341128958493281 0.457745495003067 0.4992686985933918 0.40898797360849265 0.509317787728442 0.5139214195303947 0.4806788283752006 0.4071432525555076 0.46342517107259434 0.47115904761475963 0.4822058433903595 0.4411127293059686 0.5118006104484704 0.518919768342829 0.6253011846304822 0.5309401036919634 0.47555048663314753 0.5044434530128856 0.6020230069198519 0.4927850886079863 0.5350955420840946 0.4687947924684639 0.580273476429677 0.4826902581422402
10,0.31540104045560985 0.4477337398848566 0.4384782908953574 0.4948424838964203 0.42272827348931796 0.5900810056985654 0.6131607031136425 0.6237535750355333 0.5531311657720501 0.3513289851304287 0.5156172861266979 0.6973029370594566 0.5172390649817589 0.43742081037954306 0.5586849037544276 0.6535796681534735 0.5383841997596694 0.5886540314767417 0.7328866682719581 0.5017406254833755 0.5139394531558189 0.61654756451788 0.42045355445113053 0.5949230948873634 0.5080982846447385 0.4354987061403059 0.5266098673142997 0.4478117722483749 0.5306430293581045 0.3867516724072776 0.5400671564744947 0.5980223591021703 0.3220518130168201 0.40956633276169635 0.33424252605939836 0.4348189043959712 0.5738117182878467 0.43688744225822307 0.7082233402941736 0.4450455005041271 0.4463286799947211 0.4989126104788421 0.5536670198827268 0.38315726360206226 0.5853548898576582 0.5842477155405451 0.37738587505541754 0.36236292662048103 0.5848234048432444 0.6931176108060491 0.6170252534423737 0.3427151073162888 0.43428480332249214 0.7068857791833518 0.5030007732993402 0.4877662291338537 0.5588291895583727
