,Result
1,0.2615132678686732 0.44773373659961574 0.43847829285949574 0.2742681344298893 0.5522371055905061 0.6660793425609526 0.3845925440644393 0.737234410593798 0.3414670537898201 0.4393807572275465 0.8638511439036232 0.34093440627648763 0.5823925190071277 0.7022264147516073 0.45367821834555383 0.6837173315328343 0.7148631035306322 0.763213038645265 0.6050365687604246 0.28515844614773866 0.794601307480847 0.583557198284329 0.6244187388168132 0.6350743815283983 0.5728976587190097 0.41900313224616864 0.6083775126556074 0.482369840440898 0.3740375612463224 0.7505003951963184 0.3406026835020137 0.5694423207212004 0.5624608862758723 0.698569576575749 0.8180931713166789 0.632972137658615 0.7429545686006552 0.625842743351681 0.578672440665199 0.4651117244479427 0.6761278663863691 0.7602023276791654 0.8434572587903791 0.4403533051313641 0.5017455303964162 0.5935848384086132 0.6735693163173601 0.19357183769188163 0.6645068834870118 0.3897374851936376 0.5166007817887727 0.4352085864576448 0.5788358856510077 0.1506937046237097 0.3597437848245703 0.49076095817875987 0.42107076018738726
2,0.21647366090807696 0.4477337364396431 0.43847829011111966 0.299385374452515 0.6226486804171434 0.6606456902173533 0.6017033994508789 0.3779028379887234 0.43134435503291185 0.4665828114998699 0.547822474665711 0.6217995214547469 0.3443902849384211 0.6690360370682822 0.33746559932415854 0.42419036267857047 0.5372497773794296 0.4866730465799395 0.49954599565013097 0.31593982759613837 0.5118945899829204 0.36644684008197426 0.6345050084436112 0.605552473225837 0.5655499044237393 0.47851402899764645 0.6029794643015878 0.5420573916630226 0.5584990216467562 0.27877662552491056 0.6608032094312349 0.7642428848754056 0.48986124293384725 0.29671307965823107 0.460677650221577 0.2684292172359221 0.6500448962782638 0.3783300191583679 0.1475419001744362 0.6347889071637528 0.5602363175296469 0.3987266476845301 0.6746923232488506 0.2651916574043525 0.49885613161613146 0.3378941315892639 0.33947311224339427 0.5180342305580082 0.4211854455348423 0.7637742760500813 0.49937323526868643 0.31305524880788016 0.7219402269015928 0.22411629805806946 0.3815457029000093 0.7383023340963468 0.5935015957378753
3,0.23243126078016396 0.4477337327516047 0.43847828749108586 0.2856712087962217 0.46520923264698383 0.37687268087215625 0.685879049196958 0.2962549909100612 0.11078472554623688 0.31406893377561657 0.5976585928564495 0.3980851199278722 0.23730920635729696 0.4259826919497997 0.19739236257295867 0.5035529268917905 0.4471497182728112 0.6100001101552976 0.7250732946140518 0.30452270287507527 0.4479323233373426 0.4383232885068489 0.515758545528421 0.22810888726547185 0.4456341126169041 0.5468223687614103 0.6037819797092933 0.15928729009815604 0.692360875441927 0.4769413995888779 0.8533965700376555 0.38342346869539384 0.5015652702723451 0.6253343775116924 0.5598589272345085 0.42536029954302146 0.5990933634356809 0.5346638877405308 0.38649573210661237 0.3528676345801591 0.6119973601736667 0.4225360055264205 0.6316862605068594 0.5961970497487665 0.13595454976531285 0.5247238009010261 0.5072596521265275 0.37952053970821065 0.6911260893035684 0.2419462554466441 0.6667036631420107 0.4036083333355219 0.584196647499788 0.18611972308179572 0.8630012487460819 0.665310589566041 0.6016522434672882
4,0.30758778678835835 0.44773373448432097 0.4384782878075776 0.4065824856217883 0.4900632549928099 0.14993460977583847 0.712495277505211 0.3876632677640605 0.24235797234085701 0.6282987017146522 0.39599157944983254 0.37320556275366373 0.5916862730083376 0.2884434596716549 0.44601362593216354 0.5773596962616181 0.5221371928710964 0.49267570698675794 0.4340570745878399 0.3047372521976787 0.3958824832745885 0.46460210251468076 0.18073377213700526 0.7989605606782268 0.6327423340113542 0.296099662769086 0.639267816493725 0.46130224832751265 0.6307465706734592 0.489883139127494 0.5336274042602889 0.33631337553613866 0.5544385669137502 0.27450732970193414 0.641993518414436 0.6123835011864154 0.5201824858693789 0.42243070439798025 0.47269222032188374 0.2845704355874949 0.5519906072905343 0.4036625547961981 0.3352249756180294 0.5765240661037762 0.3575211322863744 0.28558202585487474 0.40853077019573314 0.3629509954963995 0.47975262776626265 0.7932455798143194 0.19554549093649026 0.39274176274404776 0.41635250989504674 0.45731539465454346 0.32985379274152643 0.6574483833872071 0.6333078492826781
5,0.24171994522700802 0.4477337357656118 0.43847829506968306 0.4622236740049357 0.35070466954951823 0.3314344699740744 0.5554077052347551 0.6263709375618411 0.2350984840395242 0.7473494912493063 0.6854550796544281 0.6552928521688195 0.2894100961358437 0.6703396273716742 0.4362024525440838 0.23138865107808235 0.3873157027240425 0.6007186996665108 0.5606999461223641 0.4160240910141607 0.5748460358240849 0.4621212575810106 0.7914625015083923 0.619136569084709 0.5045020993978317 0.5950351790362421 0.4851635025831122 0.5536098173857658 0.40282499760917556 0.49021894368383356 0.38791003203590757 0.43489302972463123 0.19272799631125812 0.40272906059839736 0.42224089032063417 0.2966903505326381 0.5957367064951749 0.5181410389848377 0.51864423937849 0.7326544089699126 0.4779077136294698 0.6464107497331996 0.4517071522575183 0.18728753235545118 0.42247741643827164 0.46439798185359726 0.7020217923819905 0.4360654895055846 0.4715108459381975 0.47549045119230093 0.49350255453799324 0.5397580665208552 0.8396832447426824 0.4911242055643647 0.5791981001949584 0.5492953653730784 0.540623143077417
6,0.27354598225616256 0.447733736538538 0.4384782910219976 0.47025199113563104 0.44787108646497753 0.13209126568224766 0.5175317957486891 0.22857502472501096 0.33923501768418185 0.42328037866219 0.3668108176472471 0.3213310610457375 0.6991334641506286 0.5528737296841979 0.4918378875836478 0.761094144317648 0.18708299729912467 0.7472298873497475 0.5325739859064869 0.6843024540810512 0.6093128605768668 0.757956886118196 0.6413466978312371 0.07424037980355085 0.7300285970877823 0.7701970192060962 0.49529586078587917 0.638740246038194 0.4251013941660059 0.8498824939660871 0.4810764712584671 0.49140026271705567 0.36206098320288416 0.4535087142371519 0.14612424052450013 0.610872662658653 0.3527256452481233 0.6366962595872342 0.16468342437235217 0.5479398551628089 0.4050535743552802 0.6798756233099589 0.6836540175176832 0.7030960414305899 0.3512103982643464 0.39891439964945724 0.37102468874614947 0.39180569773986207 0.38683230505164473 0.7301596955139168 0.6778731518947954 0.40283296092973814 0.44736388786485454 0.42771688850637957 0.9283655737656689 0.48365062730238917 0.4054291482749033
7,0.17389907027919008 0.44773373800762284 0.4384782785527347 0.7767291308918466 0.2753263934893311 0.7002941822851271 0.5106103841008564 0.47907092205449314 0.577050188937844 0.4515020516364241 0.39607452589840103 0.6277036221577597 0.37418706427565296 0.4728883840632426 0.7029375582809132 0.6056508844449564 0.34945061638337827 0.46386646990344577 0.4951937382115407 0.5267793563553876 0.5621908267008529 0.2992269306376129 0.6583365380763142 0.8189118471547031 0.23800555250495087 0.5598727900510274 0.5324479861821537 0.6938664330842331 0.3372980524320421 0.7069824927352297 0.6314131998978088 0.5836206626597878 0.6444387150195287 0.19571028839502444 0.36271944403059325 0.5721034915570218 0.6444630220095092 0.40886782665437305 0.7512553851989429 0.2832982795302054 0.40635253164828455 0.17705401107260743 0.5809215892744165 0.596107459065237 0.7363282844410305 0.4401829824469545 0.5264382778101897 0.3039426909712452 0.5672867223212227 0.684331996411764 0.6258094440320524 0.4379147095195013 0.49612050110268663 0.5178527435301025 0.5658099934339902 0.4203138663617854 0.32824292749506334
8,0.2081631614592398 0.447733736303283 0.43847829123442167 0.22221852147770085 0.4602917932891148 0.1088882728098129 0.8947234375164904 0.5033796107205051 0.9221819607102921 0.08734867069408346 0.5109599324928021 0.7938276306052039 0.7902820287160417 0.2591969859365747 0.7016515202516324 0.12564897230427016 0.6203697406280717 0.3919604436662582 0.6383368015289219 0.47708361623072576 0.29935456261052196 0.2340674343543529 0.3268947102001698 0.42079037035214845 0.412353349294105 0.10525183092968347 0.2879404172082791 0.3655037823291471 0.8636992878666214 0.41854503782749186 0.4943759090073065 0.49918868063302224 0.5521315285470455 0.5531226936290977 0.6810267336047823 0.5284005240964132 0.8043389842666502 0.5244168902304527 0.8381327690147806 0.6731596325570949 0.32920489223954597 0.17614276076203536 0.3912852364739883 0.6308745715800488 0.6786033821962402 0.29336107153044666 0.2550269400325711 0.5323081247260119 0.63266042670142 0.3183013592994249 0.7746857180689373 0.8506882861380114 0.3380909930983279 0.18396474056612983 0.48934900986057994 0.6685856458100821 0.4550904091911227
9,0.2010227385416666 0.44773373591826304 0.4384782901537919 0.68953735077828 0.6947443118720988 0.3616903839571372 0.589993385648107 0.4130947028319129 0.45024723895150587 0.5494168524901047 0.6003708477075842 0.4370644550353469 0.3699772899297515 0.8308185520186103 0.510068241077182 0.7001867240198739 0.701074650544191 0.6674619347990298 0.6323678468208075 0.7649749186625981 0.9079564450139187 0.6867542561099169 0.585828435165072 0.18611401925072937 0.6063038192273497 0.483179766106544 0.3391534103555834 0.4991794132017611 0.41963044533767757 0.560552721555502 0.0960906883942664 0.49375519957017666 0.5696826404323991 0.5639347517658436 0.16601452000138625 0.3762960471938423 0.4192856136555155 0.32399132596830865 0.6188237637981342 0.2710949614550293 0.5982543578880852 0.16114761796104665 0.3597899755008029 0.2812366151340318 0.6437126275606265 0.5781448025913868 0.5347047599045004 0.3392365342906363 0.29599606196245837 0.930526522357665 0.8836027852480048 0.6636111272817501 0.38362150517693594 0.5101160573547177 0.3218483996152777 0.9557205804597453 0.3821658183964361
10,0.26064786455003397 0.44773373514657994 0.43847829300232066 0.38091423399675095 0.38101285428978077 0.562226262032361 0.6194728273531797 0.4881319047903073 0.5148191441288688 0.5422759579862183 0.6834146355040603 0.7278431845512515 0.4858613655689914 0.6467887665691374 0.36635271853770335 0.2599727374390656 0.3281540775896353 0.32104874860797383 0.6477571160868634 0.4984646214784524 0.4379139408547889 0.5513199884033507 0.44500966064112024 0.27830127824226636 0.7230991954216422 0.5239272327089143 0.6216957762650972 0.6414214771311997 0.5906935251932177 0.71004459970501 0.5701253914981965 0.4732320554037229 0.6945807294612014 0.4356133975907468 0.36266929262685554 0.4177710019777273 0.5139057113348466 0.4516928135122346 0.5648740265711397 0.5205895036558136 0.45365535890268227 0.5324770077600826 0.29858974695257384 0.4184689503748058 0.6136221614883102 0.4935506076386175 0.3773668214568643 0.4645697430679522 0.6657727255910187 0.529415499622487 0.39335418938957867 0.3973793010102471 0.40571385030570206 0.3992483735250641 0.6998509040828245 0.5292308323564496 0.5273668843753643
