,Result
1,0.20758772154216054 0.4477330011635046 0.4384780533778859 0.6764718827367195 0.34948684182377043 0.5964447384396608 0.5601943658783349 0.5611542499274754 0.23574208518138937 0.5414180043726781 0.3731003692923254 0.4791915197447728 0.7894269563716074 0.5130182821115568 0.7840876755617571 0.6720067855434165 0.18108037714058361 0.35144634585175355 0.6097910413169534 0.22401054933716463 0.6394112423761444 0.6988712294124704 0.0648433818789095 0.36462785256832114 0.22202372495067862 0.4304722725696823 0.678192172118522 0.26947535291613717 0.12957313104067436 0.9041775885208942 0.0010862942575587333 0.23015443180102357 0.5361403585738599 0.2563327261713888 0.6150603077213402 0.38068897948509645 0.2337041841614154 0.7712236261757119 0.18212360017326204 0.29036788968523675 0.4191672994827477 0.3249599023825378 0.06080418685889584 0.6448226351366197 0.8720263166711117 0.6288194117223219 0.29779474080402624 0.6104857215386241 0.39711364775211355 0.2280747784441446 0.7859549149015246 0.6050089344963194 0.4771782289779798 0.3067960663986909 0.37338643809004246 0.647199098687343 1.0000032431579629
2,0.09384951840707886 0.447733733481555 0.43847829187175014 0.7929077399719995 0.1837275922003251 0.8408932953450682 0.2718970489019477 0.6922714835780792 0.8025499520212482 0.8479643018021241 0.1355811407935354 0.463952056282956 0.2850093880931695 0.7704923122426254 0.19599691831869573 0.7152574769359573 0.6216928633576674 0.466513822993998 0.286698361551535 0.8558680697475252 0.30889286647956593 0.6038086413766686 0.38665520289300553 0.3980418026953747 0.22479687369924076 0.41176419725021574 0.5751696867925911 0.3405616946609457 0.6896697179776142 0.31402068822061213 0.4401678951828892 0.48037624528570266 0.1237613149438406 0.1790996545082043 0.8496276537158769 0.7078345866485485 0.211073805619116 0.26828716658558693 0.3303545569673699 0.2463484088915574 0.804092043801258 0.6089426769317074 0.7874056297928052 0.40298096218151036 0.5636246665962931 0.4643361546104038 0.634814150244514 0.3428823484117083 0.3082175082096379 0.30833970575784203 0.834008739732538 0.3442336643371366 0.6309467412616052 0.8526375290095778 0.45376366007156366 0.5824240437303151 0.3465463270525155
3,0.20172930980895926 0.44773374051847664 0.43847829285844453 0.3737650902362605 0.29507607967394867 0.7412430471855127 0.5716002972679533 0.8574465491863562 0.8078446463694658 0.36376556239530106 0.5394425504314146 0.3944438768399122 0.16370903141901963 0.4902519704277061 0.6623695070822446 0.20878315960621835 0.9155896099802098 0.503697815320452 0.4620096639430987 0.39920843627764063 0.2913285556639249 0.20670247632527752 0.32816153110460333 0.15495253840661335 0.813844071263592 0.7231823904823951 0.4006676639726384 0.5402322846239165 0.6619203883980742 0.386708048269576 0.5384911543181568 0.48550197127173145 0.3210790131745297 0.1691508028936129 0.6645101369567294 0.18879350165766304 0.6518577616569611 0.3079208719487752 0.3864282826476277 0.3442056876608769 0.5827793254839435 0.5524296728709386 0.3482389327494514 0.7771180279997714 0.3421982711871475 0.5229840490473022 0.5345653993519481 0.9649151642566609 0.40836929384312537 0.7202425378247629 0.49208875189189616 0.5043545253265562 0.8661180646464317 0.6962468885646362 0.5167049707981314 0.8282489538668333 0.8457909673431231
4,0.2914022544145269 0.44773441580465856 0.43848000012851024 0.15093185558795752 0.9103828350775384 0.7626095805687627 0.8129564043601033 0.31084382776832997 0.5525330704725515 0.47706704552134915 0.8323169973488604 0.6660485495872404 0.20739370653493203 0.7867782356837063 0.5645746716190285 0.5138596326061216 0.13189205336211943 0.7347368929775369 0.5880612996239531 0.7506888490755318 0.20330766356827193 0.7324331097821468 0.5762412353642097 0.7394130322702739 0.8564018171288479 0.18363105670183252 0.40108409688204644 0.28394590396397595 0.05171107904648138 0.5860622843280663 0.7410563756188696 0.2311061820365719 0.6152921729972313 0.5185170175172715 0.40655470477473554 0.4439992834524734 0.19422805534952156 0.7572430501247216 0.6469903163542619 0.35136609130002644 0.8786527477184276 0.1675718749474091 0.4451077782739996 0.4912029486681092 0.3244237473009968 0.21470678712751406 0.2962562749266821 0.2867538174511937 0.14262999496917902 0.9003857772565333 0.18150354871054586 0.5548273675575647 0.3651669017133035 0.7560202211743251 0.3026090274001193 0.07643825336357735 0.5694073377898606
5,0.09252140323260577 0.44773360182051747 0.4384782413642707 0.4375445847058207 0.6153110023279316 0.8369233617935424 0.5233559915329882 0.8500808718884023 0.7564055750854315 0.763206060314383 0.6372546137452044 0.20104156684244 0.5563249557159408 0.603626036823561 0.6765351459425865 0.6574250034277143 0.11474196558689055 0.8783838743955814 0.8776255162035532 0.40551508079508214 0.6897943068832205 0.2680052882190166 0.3703442743247806 0.7870385049978312 0.36842792876734637 0.6017954891801346 0.9176512323540339 0.28158449685336406 0.5483351869525346 0.8381791646382297 0.902225474128869 0.1329870673777084 0.606128158878334 0.38710513123622076 0.14215647547070587 0.5574653289570995 0.18693956081562038 0.7890556430409188 0.39324413874537284 0.3589906947511045 0.5546681322929113 0.4704543606769245 0.691209582414452 0.44663651078415667 0.15140490520068722 0.6002660681133432 0.6061374171622481 0.21232821231357143 0.7571214258751789 0.09753401973401098 0.4101398820389426 0.7732045757619757 0.7834621615323122 0.8810372882749937 0.38278774268451266 0.3737608849646281 0.6174303783397119
6,0.27878524877982475 0.4477337350383933 0.43847828927628774 0.11469982974181159 0.7151636546527858 0.563035543135045 0.8638440971726442 0.2349004489668305 0.9021264026790828 0.9656755759285599 0.44582198641000614 0.36694078500720057 0.5370786816498676 0.8642143042322391 0.5469580724823297 0.29852998633422106 0.05741414504439717 0.5709179370740163 0.5435935775032176 0.025156306723273365 0.001329285596636039 0.9478486500683159 0.8657549170329407 0.35428370263224307 0.224268067397624 0.7465340729695157 0.5107536684925902 0.7833662839432651 0.7642707586791856 0.7243021337604998 0.3212337750954984 0.09329059452613077 0.5519317294769766 0.06314433495135058 0.4797632210034482 0.012502110885287783 0.02874108134290301 0.1992816318269991 0.13251403468955747 0.42533935140963314 0.839181233114509 0.5056392977583662 0.5469301573775732 0.01563896359666824 0.41480031677726253 0.4763501139722215 0.7333770258282895 0.75002747380045 0.8663980383359315 0.15092107121317508 0.6526592900748417 0.3049507046371917 0.2398943289834292 0.979473940992432 0.8905479734618813 0.44612907156359166 0.6818058616057637
7,0.2913886764881356 0.44773374963485735 0.43847828145948164 0.4460992085062897 0.6824577735004845 0.8845906953018329 0.2876783996134057 0.13206278915217678 0.40068595199256046 0.38067130893962464 0.29548902544629396 0.5555635462941716 0.2433186883087075 0.720422424835722 0.48766402465819214 0.32397003135501773 0.23705668959031892 0.4203011799430208 0.560387689572273 0.3176945352576562 0.26767362374293674 0.42286930439606774 0.7915353411205648 0.31269249979682084 0.6832769002398732 0.292934339812169 0.539067861450268 0.41140040222247737 0.3624328140897017 0.6127891875690095 0.5993073222741943 0.3954210888454559 0.4586830208993212 0.1706138468996568 0.9749532707872909 0.7742364176016618 0.4805648203545018 0.5706927323074167 0.6799731547210117 0.47826863745038195 0.6076747158406862 0.2633368016790458 0.4268267132768946 0.14272954582635342 0.5958993913868235 0.8062328291751996 0.8291086904714838 0.5484975127464149 0.03219610036273303 0.745423702955567 0.4779657580201967 0.12302076850286048 0.6778257569774522 0.48057576182413 0.8362216351290643 0.5502698609560677 0.6034505478626181
8,0.2656887447404572 0.4477369574490889 0.43848535553645335 0.7445672814030525 0.29006297225169064 0.05377966491984815 0.9833703951228184 0.913361142189576 0.06627009864541498 0.21361760572631425 0.705349965538324 0.39278249575220664 0.22920132804090138 0.9990580581154694 0.29826645223191656 0.8512617826945826 0.152088249268003 0.7682496831603153 0.6503543122853505 0.8065117980993544 0.15890631695184776 0.7819808975734286 0.5302920562611998 0.8525325957357907 0.15658772766250714 0.762619621785506 0.8813831415569087 0.05550034266787923 0.4770582057649678 0.7171627836734105 0.4433256592226136 0.3949746188520969 0.44680827503016207 0.8060728840706998 0.44870490243352784 0.3502391504197804 0.9451355418128237 0.633697785754904 0.531474749141983 0.82971002720229 0.6868036804109057 0.3397248918074223 0.19449915286928593 0.4096500183108387 0.8164433067489038 0.390915751901406 0.5702183775241252 0.3021319991771811 0.6857616692232047 0.500637471676559 0.6973189996877198 0.08229558585009528 0.23889085104800478 0.5882825124464686 0.3418003702526305 0.8678082256545393 0.3349072516010687
9,0.0739526316386002 0.4477413183043736 0.4384805981264167 0.5356198391314232 0.4098324604101788 0.7161521538130173 0.46196308148255605 0.2027993131970578 0.8564721548477107 0.27627513632827233 0.559448500013283 0.3917893836105606 0.2031440095130698 0.5487719337460826 0.5771393393518632 0.6383626043984604 0.0522524491101228 0.7765532253046455 0.1714548261175458 0.37925034400112356 0.45848995337776394 0.294902147006609 0.8482810227088825 0.11441575922172477 0.5502320278537399 0.27731606893113 0.690724680262032 0.2840161788237256 0.2954423267858388 0.7041401743244519 0.4298919566084619 0.7694918342602303 0.5270313936408021 0.41007962454489816 0.6570771703823699 0.36272070822057073 0.04839162008190933 0.15175767110222932 0.46645379241886553 0.2792526054480641 0.6967966828131288 0.6083472179399214 0.6888920434455826 0.13177121251198878 0.42480217742233783 0.37813248223774576 0.3352690742342302 0.6931683539610324 0.34100071859149067 0.8971386244409498 0.37543510327001367 0.03127387229678458 0.4750251471295384 0.14093801845029957 0.1461942497884895 0.48449467369444843 0.43692947976815993
10,0.2994971823633581 0.44773378433354194 0.4384784101156958 0.9325643520187595 0.5157487409523317 0.18137153118038707 0.01081685572929732 0.5091250824559813 0.09890678750402714 0.39699004217638534 0.7719431948499184 0.004006523759054861 0.836794285032998 0.17177805042313957 0.13670300882130612 0.5008870142699754 0.464555053845685 0.7087198276398821 0.20335525482008157 0.2421646895481254 0.5822881171187374 0.9889073744921149 0.41029395539241487 0.5986948310264607 0.6269403018715053 0.3499801811204235 0.12626100173824994 0.6637287371013822 0.6985119804285456 0.7255958802944146 0.6554379287850658 0.9577930309554022 0.08327532590716885 0.8559863587420602 0.8907200667037202 0.17809236639484957 0.4229444942912339 0.300148375107766 0.9085745173006234 0.5014626853129367 0.8940394318692234 0.6052373162094453 0.7411151690491323 0.6000275842990725 0.1353709319887878 0.22195819098987818 0.2848008524517963 0.30697861953758343 0.4218436409284355 0.842907383631529 0.9372215231698615 0.8908248087869677 0.8253605997322282 0.17885525298597216 0.3389535314628193 0.8985632919985498 0.7395032426854629
11,0.2016639389767652 0.44773914643393325 0.43848042428428524 0.6986369706869826 0.7719251250167615 0.5413467572235507 0.8436676535715227 0.6819068485310481 0.33095081582967306 0.604965163519841 0.25359843796914916 0.34930357035086285 0.1713013139779369 0.21421039171194123 0.3868791854810903 0.7460020909499123 0.22426455668244766 0.7981009759143052 0.6806776970056237 0.9102833901616887 0.6713399021514135 0.7019495186535388 0.17658112635261988 0.8336532595305132 0.7780798331572636 0.9104456202892499 0.4772339220354025 0.31366236701226374 0.18339713531830704 0.879825891092594 0.4181980591975041 0.88014664144094 0.2870983124795803 0.7763110002396362 0.3977223539677482 0.6257390277521063 0.6686472773594647 0.36440662408179925 0.6493158584422247 0.37401807890980193 0.8587196949455385 0.5330384877802663 0.8300219630423115 0.17677726436360466 0.1088601712720348 0.7596510184829739 0.6053550764036482 0.5774827267563832 0.14755329374836249 0.13748989300153666 0.5644978077066923 0.9794008081040165 0.2121234180742384 0.3945911708714037 0.4976929469786618 0.8321279392024277 0.7971120923354941
12,0.08267920097095849 0.4477248384279673 0.4384743308205017 0.5276706511923388 0.3245334961885402 0.7513962325355494 0.3962738835064902 0.28943426915112697 0.15183142135063002 0.6541986217391681 0.3146746200348869 0.34885448783838324 0.3919405714890127 0.227166553203944 0.13005998304330266 0.3230383522112114 0.7924612974800215 0.7974359211323864 0.7328448736503387 0.44035007719198216 0.39685300186183015 0.46154741346012557 0.28497769765619074 0.4684780049008851 0.5275798084983017 0.7391525270018066 0.6739792488398962 0.28222624517242806 0.8917483232890498 0.6307446902945628 0.3405953817235685 0.6847513216809205 0.8190398211565092 0.9209508269760881 0.40090204203823343 0.6550179302959437 0.48606331450983326 0.3847427297136454 0.6766891270291154 0.7248855802679742 0.5900641631121692 0.27964651625205567 0.8971941096845426 0.5303792749502935 0.6646185940627827 0.8107959146020602 0.4364650863421031 0.2593566899111569 0.8357621382734376 0.4801786449011784 0.34293975005622734 0.6507228831222279 0.40460122322281766 0.16410882473609578 0.4552995632198874 0.7937204848067043 0.18054977271569664
13,0.3126312538935183 0.4477358418454744 0.4384792113037428 0.6832058275872798 0.8812228519428331 0.5686980450581854 0.3014245197709976 0.1587019269399413 0.14224940562494118 0.5392851074154369 0.3260994437649461 0.8569099891009879 0.14857036749708802 0.6342286330478449 0.2302808400857762 0.42216818550905855 0.4017655375820905 0.7013842552420408 0.7081145263342302 0.6142965378123328 0.18280543035446292 0.17664441841810688 0.8157741369995348 0.11152011969739711 0.04288347122873552 0.052195606839499274 0.884388393086533 0.4604691788886091 0.021598037719756095 0.5665450754669 0.5031466199590694 0.7086110763482885 0.008141263456586462 0.9343357309224668 0.17903707783726028 0.1370792051663999 0.3690774291025505 0.797717890615186 0.4217653885959322 0.7989530487013895 0.2532978592413462 0.21694885046709333 0.1339871990882937 0.4341359413247706 0.31732921557316984 0.245720927004614 0.9239689139335591 0.8960112948173845 0.40374419639806675 0.323905555525595 0.0215693698860531 0.8019149420978322 0.8761130650690363 0.18273258881223112 0.1493441273481655 0.4123015481575945 0.7413470669076089
14,0.26336127347242433 0.4477319120019089 0.4384776109309765 0.19519028161893304 0.22655705444535845 0.7981023165258495 0.3890494212529403 0.24769160267055018 0.3343990367819717 0.4594988278044454 0.25600416000221127 0.6374151690022505 0.7888714398886505 0.7205583380237494 0.2071500659951946 0.9035666560359978 0.06289636708576492 0.4500873594450101 0.45698205903818784 0.5443775028518301 0.21020159863404253 0.13749328005748732 0.499924658091572 0.9295573527579379 0.08507533181676934 0.7987684155341801 0.28883856060852214 0.32384565500862966 0.7076589267289068 0.26419332777286 0.30579485417004676 0.2514156379064489 0.5506549738016895 0.40233692334884563 0.39772464687541187 0.01931758641726936 0.2431137528331446 0.41198852851645995 0.6778376976348779 0.5014680768734598 0.3490997489658922 0.269713594072308 0.05977859528999606 0.30190459367394923 0.8112160464519143 0.38990978171174145 0.7474916593753553 0.42156559041286285 0.3983435388094023 0.6032427452426361 0.7760868490250329 0.47026552183202047 0.5443436159071996 0.47445791898248557 0.8311783177292436 0.7754932823407603 0.5870024434544219
15,0.16561099003233487 0.4477330368805712 0.4384767403458482 0.473234877323094 0.1718375191382836 0.189237015514028 0.20688306279501376 0.4117431655283137 0.5994315685392619 0.5643965920493003 0.39399130396086335 0.4611344699848318 0.18424387334135195 0.699709660545817 0.16344450347901582 0.91169482143774 0.7378099391262026 0.9530522808248892 0.5912472622574072 0.9502272162614243 0.5919078361164155 0.7245464670209153 0.8942932729769045 0.3041044658539163 0.351142547851327 0.0622791590607275 0.8422327220792952 0.12778130090110548 0.8215405921195513 0.40453257944271825 0.5730799497323351 0.09833783378297556 0.6510626252594418 0.20725938190012413 0.16573011018103 0.8319212542982625 0.8787152715816233 0.2894247639583008 0.6409559068939688 0.6259057559649223 0.4176717946596241 0.34356979576772717 0.7180812089672461 0.6476207900502882 0.4709420426764487 0.33660800305571 0.4337525601483162 0.7304514484670916 0.6159987033906885 0.4145766479232276 0.16853229808734208 0.7563186523473808 0.7772218348579236 0.721743928396666 0.7588544230153397 0.5475040495011411 0.7844709587108589
