,Result
1,0.1957445996214221 0.44773357433805605 0.4384782258121882 0.38930529396396246 0.4400871683908747 0.39025196091776415 0.46815771048182764 0.5232781239253725 0.27498657391228337 0.6876440402167613 0.4774789956577693 0.32528623984393246 0.5438694154772032 0.5791150249418661 0.5992179384555217 0.4183802036289055 0.6207259419042268 0.40444596485856926 0.4143153581095982 0.3443327788520482 0.6268406493072354 0.37222010370391995 0.34553722254048697 0.46824372177332896 0.5708181517207842 0.7478626014280093 0.2590450331158393 0.4117625596808397 0.22730257676764737 0.6033747178167095 0.7061515121806813 0.6076874613624718 0.4983660254695772 0.35371519627897996 0.4285426006840104 0.6602490262016341 0.4562454744768226 0.7308777795676925 0.7836520475325169 0.40138235283038004 0.6238634744048466 0.6520619781683729 0.7187641866334074 0.5825144608297051 0.5467867126754178 0.5705441732204454 0.3207682999814179 0.46537372198830335 0.4174560758695135 0.5062798935473891 0.7256603296211691 0.5388313301135441 0.4685230782763983 0.6106368346805128 0.39267940846681554 0.3383520803975835 0.5614367915260066
2,0.1525772844177454 0.44773404168738773 0.4384792072080683 0.4748020119435992 0.664252978808891 0.4452100946677306 0.6582422947996416 0.5601480638494007 0.39479193990240785 0.476733899172306 0.5391212621862969 0.6407187688229807 0.5844005715711806 0.6206107343582673 0.2752423244420362 0.3527215369361576 0.6627145319334251 0.7196688638696023 0.7861771336284347 0.30097244039711946 0.487175504271725 0.3896712302655526 0.43485739210215985 0.19828964331243012 0.5706691934138962 0.3670148062067992 0.6511411719634441 0.7752505183271236 0.6916994188264116 0.7936285922006303 0.5669776078474779 0.3216224855943381 0.45837828016094306 0.35608088791251813 0.3496009298932249 0.7144756591454546 0.5135870557545981 0.5059962742584281 0.4005356854878297 0.5538301663991212 0.6528357179640462 0.46192121936874964 0.15810018128737952 0.6853815184765678 0.607085064256414 0.2885815361267275 0.5762308784031137 0.6650620668142564 0.536121303533489 0.6357821255837475 0.5141209550446943 0.34847005878908044 0.4699835525173989 0.6644353292063738 0.47284280553872926 0.5322958464466461 0.6124772736129042
3,0.19276272850218482 0.4477337370140609 0.4384782900819211 0.6275539423655552 0.5570026676676324 0.31093495331388044 0.26039484833609455 0.25571821413522833 0.3964195301069718 0.401178740581077 0.4296060791172806 0.6707363360908722 0.6337799264922575 0.5970981987803171 0.38365493115961374 0.5528889348474844 0.3383241776736696 0.29850889136852937 0.29103719014835844 0.36036568891988224 0.6255501127043809 0.35110272609264725 0.2859124034821041 0.6269246499692579 0.5654200779422514 0.6853252529133077 0.4377404235584647 0.40561226349709434 0.3625861534467333 0.3034758323072622 0.5119429780577904 0.6940272870120571 0.44950899557090085 0.45438807717116747 0.34540228040165316 0.6405101073931352 0.5072481229193971 0.5734820860067145 0.5137287412128372 0.5453021649249894 0.43864548582406165 0.25781171775414513 0.33954390880589785 0.3973219386647239 0.7091847289656527 0.2858096939800603 0.5306657999507038 0.6347019232908643 0.6473144798423981 0.3821914427702608 0.6162363888710957 0.6017908887123562 0.2991718891270953 0.38851122000041094 0.6034316054371607 0.5853902538707251 0.6632755419603188
4,0.17594734395438338 0.44773368916245493 0.4384782633037288 0.6280264882928163 0.4656493199636865 0.41210491009468886 0.3826620984847334 0.6114114832881611 0.47220179621245556 0.4543711124278535 0.4844252785570976 0.5972260977595967 0.37759860455805316 0.5011458233331771 0.46765148742472346 0.6171061292361025 0.3729228876712461 0.48580344927757524 0.727734760247732 0.4767390793668625 0.6130845447936638 0.38571146238249904 0.5537546359772005 0.5913733368211991 0.6346069512505499 0.47982540065304674 0.5972244562643279 0.3263807210357392 0.32667103892612315 0.7224334244292052 0.643607667048665 0.5099405867071477 0.48839755159248616 0.41622491858745325 0.4587516045587442 0.5691634580801378 0.462018182699206 0.4370673943822568 0.8640870873178153 0.4698089174179266 0.18091716558772147 0.6236773661630408 0.6706700144072244 0.532024640945856 0.5080552629699909 0.3863054545433299 0.47453466699810604 0.4075533431803746 0.422161516930297 0.3449355820448666 0.4835813187030045 0.5083858199739218 0.40373520540136537 0.7425726873167839 0.45308325765056 0.5351110543669066 0.5049759257874715
5,0.17429346997093745 0.44773373521773974 0.43847829210191247 0.5459039198062184 0.5287377785590767 0.6179418306180153 0.39683790556905074 0.7585493236982566 0.384186600999266 0.682896441310278 0.7146592080129549 0.4933923334496906 0.3332840139773075 0.30806128611190264 0.40397457381143126 0.5355278113661229 0.34769139598747173 0.6949890323528085 0.5837984592685683 0.550973531850959 0.3755274560586483 0.4210898900772987 0.6752339598614328 0.5085593175660941 0.796325074864252 0.6219513357488532 0.49076621843150015 0.7020943177009369 0.31668761540544355 0.36330295298621457 0.21154138195876204 0.4994111217942858 0.651485148745332 0.39050232774244115 0.6928128100015046 0.381353343405607 0.5512609364820567 0.4930290453957594 0.579049230666281 0.4904509359860282 0.6542815498833989 0.3891819971691006 0.822769630174856 0.5565801878156096 0.6764641353379031 0.5407094654453023 0.3647728787574458 0.3728767675276328 0.4936311016085262 0.6211358216705897 0.43783369805500627 0.4192766844571573 0.2776831808637689 0.5448465057320456 0.6562889416292215 0.4654388687357749 0.560427289087847
6,0.15281764409019635 0.4477337341661861 0.438478283916754 0.5923431458810542 0.5597017336022247 0.5842680757074373 0.6011534067885184 0.6085408635083357 0.3539618159178035 0.3756153349890219 0.5733940844889501 0.6288125486825956 0.5191012375200756 0.41441194202738546 0.40233091227476225 0.5498619354922182 0.33061462917363216 0.4870588448840564 0.4722415816240095 0.3636261884083339 0.538063319504686 0.4719829655932272 0.6984521588744304 0.4454849352119552 0.4185428148779849 0.3773523020329057 0.3380097319023098 0.5159110165682503 0.35457404740725307 0.3729859796931299 0.30992432745620313 0.4030371005302493 0.5223800062421926 0.6018137847395666 0.31101645574877945 0.6020480822745351 0.43345319233742713 0.6381709631292364 0.5999135426141623 0.6386912684770185 0.48288912075626217 0.32358379583951197 0.6279061268994558 0.7594327419920333 0.6361776699599838 0.40145416988308824 0.4445091875082512 0.4296288270694929 0.6601400211562659 0.32557206424198204 0.43952534732738363 0.505159387600815 0.5878921030206673 0.32266078304908435 0.4122091026747686 0.6328856620126976 0.6535596202343905
7,0.2198498730161433 0.4477337356110997 0.4384782909969914 0.5999580067904371 0.1535648754152458 0.4893401745021366 0.4763099911920044 0.4247328860528573 0.43192344013712525 0.4883943692653629 0.3584579137749935 0.48251222494435675 0.5132293987637697 0.3521073989181929 0.6151186632013889 0.4637898303991341 0.5957236905492636 0.42691551558049834 0.30399578220915696 0.6824324503132425 0.4628265402747087 0.1507847528418168 0.5413445208482079 0.7387557619965415 0.5317289124633751 0.3913593902844922 0.5878493650396949 0.5867805988929128 0.6185594278629162 0.6009348185860203 0.657620022584882 0.5452827932947173 0.6036473037477275 0.6098639314351442 0.6999488734265358 0.675955115165733 0.6749457747593081 0.3450470120792747 0.5658115684756724 0.6109835444417204 0.49203494093024985 0.5478053812106628 0.6058355907458783 0.5022218625074216 0.46944343236460434 0.577425371758716 0.3611245874548091 0.3364134377526192 0.4560356104436092 0.5938298034400586 0.4545461210754954 0.5927752849475602 0.4278835730289632 0.5920873252894083 0.47420099523578085 0.4602678237122447 0.20116628910169573
8,0.2438209269744892 0.4477337340073927 0.4384782886294925 0.20341556122432186 0.5398473187279696 0.5714963957578522 0.4012953545412549 0.5836808477905424 0.3529872065953497 0.3270458420225471 0.4377303577316043 0.5198146532741796 0.3777344543172092 0.14173369829635132 0.6224572057908644 0.5954987906252762 0.6921933600298236 0.325048291125078 0.28557632313567377 0.653248468906255 0.4973773224852037 0.5626469321182866 0.5565425156731636 0.41216706514998125 0.5502188256041972 0.36674382222668744 0.5288263607134888 0.7348802722530015 0.3637192785785782 0.4801814644425335 0.3671088882770197 0.6173585485647072 0.3951551394747851 0.39032998575964806 0.4050889653121772 0.5980500505472087 0.4771353091736319 0.7085321662167405 0.7013288432096777 0.6734951614829574 0.34393438506481594 0.3778057473638392 0.32301847727626837 0.33537876288215324 0.5533684286705055 0.46605727717902284 0.36972969969734243 0.4243914968968609 0.7291134385573135 0.6832872799490539 0.6171523484547851 0.3599893098682898 0.6165092013053979 0.4594256326378925 0.4059157529671598 0.5762037903431251 0.34514863679818836
9,0.19467751337370692 0.4477340731944677 0.43847926862193265 0.532551070787396 0.6656004581509205 0.2862063719028048 0.3824274784842424 0.7169146753457536 0.534065621266373 0.4426556412389411 0.649606875877712 0.38281266880954634 0.40620651304870264 0.7712847021894226 0.7057979881462298 0.40208991324531645 0.3991107928040843 0.40775241069997703 0.2490108625686608 0.45654971223999746 0.2988950732632126 0.5214262693325525 0.33150135614855647 0.2913162004547361 0.4316120337512719 0.49051361292645757 0.3386343156320175 0.6487342260241774 0.7613131518316116 0.470074081785125 0.28712874030882185 0.4717848572520794 0.6744299193411253 0.7460848707033958 0.3447250318240723 0.27228833980172173 0.42442454240021793 0.7067356365113066 0.40720276191736426 0.4293134223742105 0.7293967681824289 0.49519691821626066 0.4010248745480157 0.2965039442473834 0.4068111292168481 0.3994845665152024 0.3327144742558732 0.6580303231963052 0.6118527203996316 0.38705078458664777 0.27837501460905106 0.5817826089239184 0.6938253249481976 0.5583097583536062 0.6639623351898061 0.41589983737168473 0.7177558837767545
10,0.1489532793411161 0.4477337352604067 0.4384782929228149 0.4126124393772552 0.4352984494042627 0.428286981184134 0.3765386480941683 0.7947686494551363 0.544347440040974 0.7358011294887142 0.34892763274000493 0.39316854224139314 0.6358914770384168 0.7427182723370572 0.4901537794539251 0.6410017018638972 0.3298143882694349 0.4616049727399829 0.4699404903855987 0.6150808296416596 0.5593648946590877 0.7358940992343385 0.6580344078518683 0.6298534460378581 0.3842294005455861 0.4656550617057755 0.50929182265823 0.42884477104463903 0.2944527674140287 0.31159075641033673 0.6454521779948689 0.535859505894379 0.3483084571161873 0.6816653357633833 0.4624992475156884 0.548089893166385 0.321018012012716 0.44376258658146467 0.4988556297172828 0.3148572410244595 0.4316581392547372 0.26679457678424773 0.5001845648554901 0.35229580566397545 0.42618871486960747 0.42730538235548937 0.4769588935033048 0.3274241052801125 0.4041389102582824 0.35839135780847486 0.45990259302446224 0.2686555400403004 0.42103659522382614 0.38972027265633785 0.34460521831157365 0.6932132163628579 0.45318307729520335
11,0.18658270339801217 0.4477340059370624 0.43847906482164706 0.3841043190746523 0.26373919064783413 0.5701571795986253 0.6419424776796628 0.6451276625019173 0.6788876154968816 0.675275554340239 0.3669542364196577 0.27654727134834867 0.5762237339773973 0.38735321100881126 0.7374086994253835 0.5314184728072701 0.3052054402999188 0.3569349574685348 0.46126664040133214 0.408303505567512 0.6038627849196088 0.31777087087161837 0.7926265308364852 0.15275064993894893 0.6696460471452117 0.3575130831760786 0.3897195282723213 0.6872762616093501 0.36051222128330196 0.4343798371017678 0.4672143835980731 0.27366657804685185 0.3086620324870224 0.7927065017049636 0.6239221527601648 0.4741779592006598 0.36568554648633483 0.5689736400979413 0.3482230769652846 0.5487179488463388 0.24323444530078103 0.326539378070213 0.15553118210123174 0.6594390956797451 0.6022198692189765 0.4753417635414784 0.5715728759394335 0.3185667185213397 0.7101992454706592 0.31206110977620866 0.504997489306784 0.6831208936939477 0.15001428976974504 0.6114057952507224 0.17210632368282774 0.4909455859905137 0.4067208811953733
